2023-05-04 15:32:55,153 INFO    MainThread:31062 [wandb_setup.py:_flush():76] Configure stats pid to 31062
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_setup.py:_flush():76] Loading settings from /home/lcur1708/.config/wandb/settings
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_setup.py:_flush():76] Loading settings from /home/lcur1708/ae_flow_git/ae_flow/wandb/settings
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/lcur1708/ae_flow_git/ae_flow/train.py'}
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_init.py:_log_setup():507] Logging user logs to /home/lcur1708/ae_flow_git/ae_flow/wandb/run-20230504_153255-lzb1wpzs/logs/debug.log
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_init.py:_log_setup():508] Logging internal logs to /home/lcur1708/ae_flow_git/ae_flow/wandb/run-20230504_153255-lzb1wpzs/logs/debug-internal.log
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_init.py:init():547] calling init triggers
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CHEST_XRAY', 'epochs': 10}
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_init.py:init():595] starting backend
2023-05-04 15:32:55,154 INFO    MainThread:31062 [wandb_init.py:init():599] setting up manager
2023-05-04 15:32:55,156 INFO    MainThread:31062 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-04 15:32:55,159 INFO    MainThread:31062 [wandb_init.py:init():605] backend started and connected
2023-05-04 15:32:55,160 INFO    MainThread:31062 [wandb_init.py:init():695] updated telemetry
2023-05-04 15:32:55,169 INFO    MainThread:31062 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-05-04 15:32:55,559 INFO    MainThread:31062 [wandb_run.py:_on_init():2176] communicating current version
2023-05-04 15:32:55,613 INFO    MainThread:31062 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-04 15:32:55,613 INFO    MainThread:31062 [wandb_init.py:init():782] starting run threads in backend
2023-05-04 15:33:25,644 INFO    MainThread:31062 [wandb_run.py:_console_start():2157] atexit reg
2023-05-04 15:33:25,644 INFO    MainThread:31062 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-05-04 15:33:25,644 INFO    MainThread:31062 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-05-04 15:33:25,644 INFO    MainThread:31062 [wandb_run.py:_redirect():2102] Redirects installed.
2023-05-04 15:33:25,645 INFO    MainThread:31062 [wandb_init.py:init():824] run started, returning control to user process
